file_name,score
3661.pkl,-2.1824588775634766
5109.pkl,-1.4403411149978638
1876.pkl,-3.970527172088623
10447.pkl,-3.8541927337646484
8958.pkl,-1.3356602191925049
10141.pkl,-2.3193166255950928
1529.pkl,-2.4539365768432617
9552.pkl,-1.2447479963302612
2390.pkl,-0.4909464716911316
10326.pkl,-1.2952759265899658
9472.pkl,-2.6382553577423096
10751.pkl,-2.1583898067474365
527.pkl,-1.2917299270629883
1095.pkl,-2.2648696899414062
9762.pkl,-0.5438899993896484
2494.pkl,-1.3048944473266602
2676.pkl,-1.6801139116287231
9859.pkl,-3.453127384185791
4744.pkl,-2.9745728969573975
2079.pkl,-4.275292873382568
9091.pkl,-1.5507224798202515
4389.pkl,-2.788958787918091
897.pkl,-2.171727418899536
3241.pkl,-3.070976495742798
7187.pkl,-1.7655967473983765
10626.pkl,-3.636068105697632
9130.pkl,-1.8536248207092285
9022.pkl,-1.382215976715088
6179.pkl,-4.918628215789795
619.pkl,-1.7007197141647339
963.pkl,-0.5308010578155518
10844.pkl,-3.3462696075439453
702.pkl,-2.371613025665283
8078.pkl,-4.317825794219971
2075.pkl,-3.3695764541625977
5474.pkl,-1.5998812913894653
8921.pkl,-0.5775331854820251
478.pkl,-1.7032444477081299
2327.pkl,-2.3024723529815674
9304.pkl,-1.5977413654327393
129.pkl,-0.46946415305137634
541.pkl,-2.313072443008423
3468.pkl,-3.6419312953948975
11026.pkl,-1.7520889043807983
6095.pkl,-1.4957334995269775
80.pkl,-2.9231183528900146
10980.pkl,-1.4881703853607178
1974.pkl,-1.7112609148025513
1728.pkl,-3.7796690464019775
5351.pkl,-1.1619579792022705
4740.pkl,-2.412710666656494
3031.pkl,-1.3809247016906738
10588.pkl,-4.255789279937744
7255.pkl,-3.176443099975586
2712.pkl,-0.4984703063964844
3495.pkl,-3.14457631111145
10999.pkl,-1.7149289846420288
5557.pkl,-0.9981446266174316
8775.pkl,-0.43087947368621826
2972.pkl,-2.522059679031372
9838.pkl,-4.226415157318115
5797.pkl,-2.9517014026641846
7907.pkl,-1.2754478454589844
4957.pkl,-3.5340964794158936
8651.pkl,-2.9498536586761475
1115.pkl,-0.5910341143608093
7250.pkl,-0.49066823720932007
7043.pkl,-3.10305118560791
8330.pkl,-4.036596298217773
9539.pkl,-3.3408422470092773
10448.pkl,-0.5287835597991943
8359.pkl,-4.164893627166748
3338.pkl,-1.6369632482528687
5136.pkl,-3.6010866165161133
4007.pkl,-2.432645082473755
2934.pkl,-2.4118053913116455
4638.pkl,-1.463935136795044
2517.pkl,-2.184570789337158
4498.pkl,-2.920156717300415
9195.pkl,-3.7345948219299316
473.pkl,-1.4051790237426758
6678.pkl,-2.133662700653076
5951.pkl,-2.223917007446289
2619.pkl,-0.43364217877388
288.pkl,-4.028111934661865
11217.pkl,-1.245886206626892
2665.pkl,-1.2041958570480347
1577.pkl,-4.028778553009033
3833.pkl,-2.1831607818603516
1443.pkl,-3.157057046890259
6628.pkl,-2.9365530014038086
6572.pkl,-1.0333423614501953
1164.pkl,-3.147315502166748
4091.pkl,-2.84399151802063
3964.pkl,-1.1493159532546997
4177.pkl,-1.5488855838775635
4044.pkl,-0.5664861798286438
6129.pkl,-1.487815499305725
8580.pkl,-1.2226457595825195
1389.pkl,-3.4765608310699463
3794.pkl,-1.2500181198120117
10589.pkl,-2.127013683319092
6692.pkl,-0.5654717683792114
3230.pkl,-4.105376720428467
10508.pkl,-2.646974563598633
1140.pkl,-2.323136568069458
2247.pkl,-3.0148510932922363
10838.pkl,-4.250736713409424
8887.pkl,-1.374413251876831
9631.pkl,-1.4287028312683105
4014.pkl,-3.059033155441284
7384.pkl,-1.5306885242462158
7398.pkl,-3.1094260215759277
3061.pkl,-2.110907554626465
7828.pkl,-1.6304126977920532
631.pkl,-1.6823590993881226
5159.pkl,-1.47288978099823
5103.pkl,-0.5275003910064697
8823.pkl,-0.6458122730255127
2206.pkl,-2.5903542041778564
8963.pkl,-3.251267671585083
3864.pkl,-2.644714832305908
9616.pkl,-0.37694817781448364
10785.pkl,-0.5396367311477661
8987.pkl,-1.7452231645584106
892.pkl,-3.372755527496338
5598.pkl,-1.7544571161270142
2289.pkl,-0.42520537972450256
8653.pkl,-3.31850528717041
10277.pkl,-3.4649603366851807
744.pkl,-1.3592036962509155
3081.pkl,-0.9553134441375732
2324.pkl,-2.2981576919555664
10120.pkl,-1.4689576625823975
7973.pkl,-2.3634722232818604
8794.pkl,-1.2637102603912354
6996.pkl,-0.5425323247909546
1272.pkl,-1.1393954753875732
2457.pkl,-0.6665126085281372
9171.pkl,-3.196882724761963
7221.pkl,-3.7708234786987305
2734.pkl,-0.4327121675014496
9021.pkl,-2.8479106426239014
3202.pkl,-4.051823616027832
7450.pkl,-0.6648740172386169
8356.pkl,-1.1131306886672974
7423.pkl,-2.8331711292266846
9381.pkl,-2.777151107788086
7595.pkl,-4.110185623168945
5815.pkl,-1.5496376752853394
4539.pkl,-1.3836755752563477
3746.pkl,-2.275355339050293
1541.pkl,-2.1807947158813477
4726.pkl,-3.531425952911377
5297.pkl,-0.41973719000816345
188.pkl,-1.5178126096725464
11125.pkl,-1.5057343244552612
9348.pkl,-1.4423075914382935
9230.pkl,-1.7511348724365234
5162.pkl,-1.8328640460968018
1978.pkl,-0.4134664535522461
6514.pkl,-2.3508973121643066
7806.pkl,-3.077636241912842
1951.pkl,-1.359558343887329
2573.pkl,-1.6753973960876465
5880.pkl,-4.254670143127441
5523.pkl,-1.6858060359954834
971.pkl,-3.9988515377044678
2816.pkl,-0.5223778486251831
3010.pkl,-2.2332358360290527
1241.pkl,-0.4139415919780731
875.pkl,-1.2730844020843506
783.pkl,-2.2974815368652344
5584.pkl,-3.9946980476379395
6413.pkl,-3.1231720447540283
2561.pkl,-3.4481089115142822
10539.pkl,-1.2655184268951416
6698.pkl,-1.6312006711959839
10519.pkl,-3.6190435886383057
1626.pkl,-1.5088884830474854
8484.pkl,-1.1698213815689087
10594.pkl,-0.4897121489048004
9707.pkl,-1.5689327716827393
6563.pkl,-2.1907007694244385
1858.pkl,-3.4029154777526855
8470.pkl,-2.8899638652801514
5014.pkl,-1.2072184085845947
4371.pkl,-0.46335265040397644
4157.pkl,-1.3380430936813354
1263.pkl,-3.0091235637664795
8092.pkl,-3.20536470413208
2682.pkl,-1.645315170288086
10855.pkl,-2.9460771083831787
4395.pkl,-3.5350489616394043
8721.pkl,-2.1900172233581543
6150.pkl,-1.6102588176727295
10512.pkl,-1.9011708498001099
9664.pkl,-2.133073568344116
5624.pkl,-1.3554757833480835
3083.pkl,-3.382960796356201
4290.pkl,-1.5122599601745605
577.pkl,-3.1728298664093018
11166.pkl,-1.1987278461456299
9580.pkl,-0.42423996329307556
9748.pkl,-3.420403242111206
6465.pkl,-2.1541683673858643
499.pkl,-2.1831252574920654
5252.pkl,-4.12277364730835
2329.pkl,-0.5492819547653198
5839.pkl,-1.5384039878845215
1571.pkl,-2.3716533184051514
6259.pkl,-2.827838897705078
7346.pkl,-1.591773509979248
2844.pkl,-1.605270266532898
2391.pkl,-1.6779162883758545
4048.pkl,-3.6213207244873047
564.pkl,-0.36628663539886475
4535.pkl,-3.059669256210327
559.pkl,-3.3539562225341797
944.pkl,-4.1258039474487305
3276.pkl,-1.4655792713165283
2763.pkl,-1.772108554840088
5098.pkl,-1.3798463344573975
1350.pkl,-2.4506776332855225
2534.pkl,-1.1863937377929688
6066.pkl,-2.4343981742858887
2756.pkl,-1.5769720077514648
6035.pkl,-2.200117588043213
10905.pkl,-1.3641446828842163
8243.pkl,-1.410696268081665
393.pkl,-2.6083295345306396
7287.pkl,-1.9006004333496094
7996.pkl,-1.476288080215454
10114.pkl,-1.6782970428466797
8954.pkl,-1.4219716787338257
238.pkl,-1.4827919006347656
9577.pkl,-2.7141895294189453
4333.pkl,-1.9026728868484497
7997.pkl,-0.5678842067718506
1219.pkl,-2.8126611709594727
8060.pkl,-0.4316743314266205
7247.pkl,-1.9765300750732422
9159.pkl,-0.4712487459182739
6197.pkl,-2.2476089000701904
3415.pkl,-1.156741738319397
10055.pkl,-1.9939852952957153
3350.pkl,-2.0314860343933105
4233.pkl,-1.530900001525879
7367.pkl,-3.787959575653076
9140.pkl,-0.4253356456756592
904.pkl,-2.93965744972229
1251.pkl,-1.5401575565338135
6658.pkl,-3.3146414756774902
707.pkl,-0.6613723039627075
10946.pkl,-1.915351390838623
569.pkl,-0.5479025840759277
8488.pkl,-2.6513888835906982
9786.pkl,-1.1295890808105469
9071.pkl,-0.5057858824729919
5464.pkl,-2.2596092224121094
5530.pkl,-0.5161892771720886
3770.pkl,-2.2313334941864014
6883.pkl,-3.5331180095672607
6012.pkl,-2.698198080062866
5594.pkl,-2.8431296348571777
3855.pkl,-1.5328141450881958
9053.pkl,-2.7667734622955322
6922.pkl,-0.4967707395553589
10518.pkl,-2.798375368118286
7845.pkl,-2.6213111877441406
10610.pkl,-0.6800491809844971
134.pkl,-0.512133002281189
11218.pkl,-1.7472484111785889
9175.pkl,-1.7590045928955078
5527.pkl,-1.381590723991394
1910.pkl,-1.2258373498916626
117.pkl,-1.357682228088379
7080.pkl,-2.1313729286193848
2071.pkl,-2.1752171516418457
7210.pkl,-0.3573820888996124
3778.pkl,-1.6101725101470947
7775.pkl,-4.1773481369018555
7373.pkl,-2.2399191856384277
1432.pkl,-1.599774956703186
4088.pkl,-3.0370125770568848
6543.pkl,-2.4500794410705566
752.pkl,-0.5748683214187622
1297.pkl,-1.4814081192016602
6864.pkl,-3.8047263622283936
4812.pkl,-2.957629680633545
6612.pkl,-2.9831364154815674
6104.pkl,-0.4337752163410187
5818.pkl,-1.3352479934692383
3213.pkl,-3.632887125015259
3438.pkl,-0.563017725944519
5894.pkl,-2.3804168701171875
627.pkl,-3.0355594158172607
1216.pkl,-2.958108425140381
3836.pkl,-1.4734262228012085
2177.pkl,-1.1680039167404175
2699.pkl,-2.9540367126464844
3077.pkl,-1.4808934926986694
3630.pkl,-1.2730824947357178
8708.pkl,-3.359039783477783
10146.pkl,-3.6755857467651367
7816.pkl,-1.196584701538086
8696.pkl,-1.2121970653533936
6022.pkl,-1.111128330230713
4817.pkl,-3.3379530906677246
2519.pkl,-1.3073594570159912
1655.pkl,-1.5260014533996582
9881.pkl,-2.7148635387420654
5085.pkl,-0.5610542297363281
2154.pkl,-1.4899687767028809
10592.pkl,-1.3891208171844482
599.pkl,-3.664224147796631
6737.pkl,-3.8444902896881104
997.pkl,-0.47361838817596436
8770.pkl,-3.5612025260925293
6530.pkl,-3.6968774795532227
9935.pkl,-3.6844937801361084
4195.pkl,-0.4521257281303406
1252.pkl,-0.5747019052505493
10405.pkl,-3.385284662246704
712.pkl,-3.112090826034546
11038.pkl,-1.7438969612121582
9751.pkl,-1.0250194072723389
7145.pkl,-2.975980281829834
10832.pkl,-4.0729475021362305
6992.pkl,-0.5263934135437012
4103.pkl,-1.4588273763656616
454.pkl,-2.9567978382110596
4907.pkl,-1.4385924339294434
1233.pkl,-1.3053951263427734
2354.pkl,-2.2587058544158936
2750.pkl,-2.441709041595459
3279.pkl,-2.815474510192871
2133.pkl,-0.5736017823219299
10696.pkl,-3.0491011142730713
8019.pkl,-2.545711040496826
8381.pkl,-3.8706090450286865
3666.pkl,-1.9316071271896362
4564.pkl,-3.38515043258667
4270.pkl,-2.3463685512542725
2747.pkl,-2.1979379653930664
8003.pkl,-2.1800038814544678
5455.pkl,-4.166768550872803
10864.pkl,-3.0701236724853516
1593.pkl,-2.706557035446167
10283.pkl,-1.54899263381958
4494.pkl,-3.1369571685791016
3546.pkl,-2.293215036392212
5874.pkl,-3.1456122398376465
7102.pkl,-3.152432680130005
7931.pkl,-1.1863386631011963
4232.pkl,-1.5029324293136597
9001.pkl,-1.8285586833953857
10363.pkl,-0.5392723083496094
2878.pkl,-2.221715211868286
2349.pkl,-1.452897310256958
4068.pkl,-1.9072656631469727
3243.pkl,-2.830881118774414
285.pkl,-2.6014060974121094
3314.pkl,-0.5665876865386963
4215.pkl,-1.8970987796783447
6846.pkl,-2.5523619651794434
