file_name,score
3661.pkl,-2.1821932792663574
5109.pkl,-1.440168023109436
1876.pkl,-3.9709315299987793
10447.pkl,-3.8545267581939697
8958.pkl,-1.3356014490127563
10141.pkl,-2.3193399906158447
1529.pkl,-2.4541969299316406
9552.pkl,-1.244687795639038
2390.pkl,-0.4909626841545105
10326.pkl,-1.2951679229736328
9472.pkl,-2.6382246017456055
10751.pkl,-2.1583445072174072
527.pkl,-1.2916072607040405
1095.pkl,-2.2645580768585205
9762.pkl,-0.543896496295929
2494.pkl,-1.3048367500305176
2676.pkl,-1.6798083782196045
9859.pkl,-3.4533352851867676
4744.pkl,-2.9749069213867188
2079.pkl,-4.274717807769775
9091.pkl,-1.5507755279541016
4389.pkl,-2.789252281188965
897.pkl,-2.171912670135498
3241.pkl,-3.071082353591919
7187.pkl,-1.7654744386672974
10626.pkl,-3.63633394241333
9130.pkl,-1.8533267974853516
9022.pkl,-1.3821613788604736
6179.pkl,-4.9183173179626465
619.pkl,-1.700661063194275
963.pkl,-0.5308104753494263
10844.pkl,-3.3465027809143066
702.pkl,-2.3713736534118652
8078.pkl,-4.318301200866699
2075.pkl,-3.3697662353515625
5474.pkl,-1.5996630191802979
8921.pkl,-0.5775522589683533
478.pkl,-1.7029439210891724
2327.pkl,-2.30207896232605
9304.pkl,-1.597786545753479
129.pkl,-0.46946483850479126
541.pkl,-2.313122272491455
3468.pkl,-3.6421782970428467
11026.pkl,-1.7520995140075684
6095.pkl,-1.4955832958221436
80.pkl,-2.923152208328247
10980.pkl,-1.488155722618103
1974.pkl,-1.7112358808517456
1728.pkl,-3.7799088954925537
5351.pkl,-1.1619281768798828
4740.pkl,-2.4128308296203613
3031.pkl,-1.3808757066726685
10588.pkl,-4.256280899047852
7255.pkl,-3.176793098449707
2712.pkl,-0.4984988868236542
3495.pkl,-3.1449687480926514
10999.pkl,-1.714720368385315
5557.pkl,-0.9981050491333008
8775.pkl,-0.4308842718601227
2972.pkl,-2.5221564769744873
9838.pkl,-4.225835800170898
5797.pkl,-2.951817512512207
7907.pkl,-1.2753329277038574
4957.pkl,-3.5344908237457275
8651.pkl,-2.9501612186431885
1115.pkl,-0.5910407900810242
7250.pkl,-0.4906860589981079
7043.pkl,-3.1033904552459717
8330.pkl,-4.036074161529541
9539.pkl,-3.341029405593872
10448.pkl,-0.5287960171699524
8359.pkl,-4.165341377258301
3338.pkl,-1.6369891166687012
5136.pkl,-3.6013317108154297
4007.pkl,-2.4325976371765137
2934.pkl,-2.4116954803466797
4638.pkl,-1.4637782573699951
2517.pkl,-2.184567451477051
4498.pkl,-2.920480728149414
9195.pkl,-3.735039710998535
473.pkl,-1.4050090312957764
6678.pkl,-2.1335408687591553
5951.pkl,-2.2237257957458496
2619.pkl,-0.43365123867988586
288.pkl,-4.028499603271484
11217.pkl,-1.24580717086792
